publication_date,title_mn,article_url,archive_page
2018-06-28,Улсын Их Хурлын гишүүдийн 2018 оны 06 дугаар сарын 28-ны өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/3300/,27
2018-06-29,Улсын Их Хурлын гишүүдийн 2017 оны 06 дугаар сарын 29-ний өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/3289/,27
2018-10-01,Улсын Их Хурлын гишүүдийн 2018 оны 10 дугаар сарын 01-ний өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/3908/,27
2018-10-04,Улсын Их Хурлын гишүүдийн 2018 оны 10 дугаар сарын 04-ний өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/3998/,27
2018-10-05,Улсын Их Хурлын гишүүдийн 2018 оны 10 дугаар сарын 05-ны өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/3950/,27
2018-10-11,Улсын Их Хурлын гишүүдийн 2018 оны 10 дугаар сарын 11-ний өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/3974/,27
2018-10-12,Улсын Их Хурлын гишүүдийн 2018 оны 10 дугаар сарын 12-ны өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/3806/,27
2018-10-18,Улсын Их Хурлын гишүүдийн 2018 оны 10 дугаар сарын 18-ны өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/3800/,27
2018-10-19,Улсын Их Хурлын гишүүдийн 2018 оны 10 дугаар сарын 19-ний өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/3795/,26
2018-10-25,Улсын Их Хурлын гишүүдийн 2018 оны 10 дугаар сарын 25-ны өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/3761/,26
2018-10-26,Улсын Их Хурлын гишүүдийн 2018 оны 10 дугаар сарын 26-ны өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/3752/,26
2018-11-01,Улсын Их Хурлын гишүүдийн 2018 оны 11 дүгээр сарын 01-ний өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/3835/,26
2018-11-02,Улсын Их Хурлын гишүүдийн 2018 оны 11 дүгээр сарын 02-ны өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/3823/,26
2018-11-06,Улсын Их Хурлын гишүүдийн 2018 оны 11 дүгээр сарын 06-ны өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/3827/,26
2018-11-07,Улсын Их Хурлын гишүүдийн 2018 оны 11 дүгээр сарын 07-ны өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/3843/,26
2018-11-14,Улсын Их Хурлын гишүүдийн ирцийн мэдээ /2018.11.14/,https://www.parliament.mn/nn/3699/,26
2018-11-15,Улсын Их Хурлын гишүүдийн 2018 оны 11 дүгээр сарын 15-ны өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/4458/,26
2018-11-16,Улсын Их Хурлын гишүүдийн 2018 оны 11 дүгээр сарын 16-ны өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/4368/,26
2018-11-17,Улсын Их Хурлын гишүүдийн 2018 оны 11 дүгээр сарын 17-ны өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/4424/,26
2018-11-19,Улсын Их Хурлын гишүүдийн 2018 оны 11 дүгээр сарын 19-ний өдөр /Даваа гараг/-ийн ирцийн мэдээ,https://www.parliament.mn/nn/4496/,26
2018-11-20,Улсын Их Хурлын гишүүдийн нэгдсэн хуралдааны 2018 оны 10 дугаар сарын ирцийн мэдээ,https://www.parliament.mn/nn/4489/,25
2018-11-22,Улсын Их Хурлын гишүүдийн 2018 оны 11 дүгээр сарын 22-ны өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/4435/,25
2018-11-23,Улсын Их Хурлын гишүүдийн 2018 оны 11 дүгээр сарын 23-ны өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/4429/,25
2018-11-27,Улсын Их Хурлын гишүүдийн 2018 оны 11 дүгээр сарын 27-ны өдөр /Мягмар гараг/-ийн ирцийн мэдээ,https://www.parliament.mn/nn/4016/,25
2018-11-30,Улсын Их Хурлын гишүүдийн 2018 оны 11 дүгээр сарын 30-ны өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/4344/,25
2018-12-03,Улсын Их Хурлын гишүүдийн 2018 оны 12 дугаар сарын 03-ны өдөр /Даваа гараг/-ийн ирцийн мэдээ,https://www.parliament.mn/nn/4095/,25
2018-12-06,Улсын Их Хурлын гишүүдийн 2018 оны 12 дугаар сарын 06-ны өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/4238/,25
2018-12-10,Улсын Их Хурлын гишүүдийн 2018 оны 12 дугаар сарын 10-ны өдөр/Даваа гараг/-ийн ирцийн мэдээ,https://www.parliament.mn/nn/4070/,25
2018-12-17,Улсын Их Хурлын гишүүдийн 2018 оны 12 дугаар сарын 17-ны өдөр/Даваа гараг/-ийн ирцийн мэдээ,https://www.parliament.mn/nn/4091/,25
2018-12-24,Улсын Их Хурлын гишүүдийн 2018 оны 12 дугаар сарын 24-ний өдөр /Даваа гараг/-ийн ирцийн мэдээ,https://www.parliament.mn/nn/4004/,25
2018-12-31,Улсын Их Хурлын гишүүдийн 2018 оны 12 дугаар сарын 31-ний өдөр/Даваа гараг/-ийн ирцийн мэдээ,https://www.parliament.mn/nn/4036/,25
2019-01-07,Улсын Их Хурлын гишүүдийн 2019 оны 01 дүгээр сарын 07-ны өдөр/Даваа гараг/-ийн ирцийн мэдээ,https://www.parliament.mn/nn/4135/,25
2019-01-14,Улсын Их Хурлын гишүүдийн 2019 оны 01 дүгээр сарын 14-ний өдөр/Даваа гараг/-ийн ирцийн мэдээ,https://www.parliament.mn/nn/4130/,24
2019-01-17,Улсын Их Хурлын гишүүдийн 2019 оны 01 дүгээр сарын 17-ны өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/4292/,24
2019-01-18,Улсын Их Хурлын гишүүдийн 2019 оны 01 дүгээр сарын 18-ны өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/4286/,24
2019-01-21,Улсын Их Хурлын гишүүдийн 2019 оны 01 дүгээр сарын 21-ний өдөр/Даваа гараг/-ийн ирцийн мэдээ,https://www.parliament.mn/nn/4647/,24
2019-01-24,Улсын Их Хурлын гишүүдийн 2019 оны 01 дүгээр сарын 24-ний өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/4909/,24
2019-01-25,Улсын Их Хурлын гишүүдийн 2019 оны 01 дүгээр сарын 25-ны өдрийн ирцийн мэдээ,https://www.parliament.mn/nn/4940/,24
2019-01-28,Улсын Их Хурлын гишүүдийн 2019 оны 01 дүгээр сарын 28-ны өдөр/Даваа гараг/-ийн ирцийн мэдээ,https://www.parliament.mn/nn/4622/,24
