session_id,session_number,date,parliamentary_year,session_kind,scheduled_start_time,actual_start_time,start_delay_minutes,title_mn,agenda_count,on_time,late,excused_general,excused_medical,mission_local,mission_foreign,absent_unexplained,total_members,data_provisional,dashboard_url,source_article_url,source_attachment_url
s183,30,2025-03-17,2025,SPRING,,10:00,,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 03 дугаар сарын 17-ны өдрийн ирцийн мэдээ,2,83,32,1,2,1,6,1,126,False,https://att.parliament.mn/sessions/2025-03-17,https://www.parliament.mn/nn/74246/,
s184,31,2025-03-27,2025,SPRING,,10:00,,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 03 дугаар сарын 27-ны өдрийн ирцийн мэдээ,0,86,24,0,3,1,10,2,126,False,https://att.parliament.mn/sessions/2025-03-27,https://www.parliament.mn/nn/74354/,
s185,32,2025-03-28,2025,SPRING,,10:00,,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 03 дугаар сарын 28-ны өдрийн ирцийн мэдээ,0,73,31,1,4,4,11,2,126,False,https://att.parliament.mn/sessions/2025-03-28,https://www.parliament.mn/nn/74360/,
s186,33,2025-03-31,2025,SPRING,,10:00,,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 03 дугаар сарын 31-ний өдрийн ирцийн мэдээ,1,78,31,3,4,1,6,3,126,False,https://att.parliament.mn/sessions/2025-03-31,https://www.parliament.mn/nn/74372/,
s187,34,2025-04-03,2025,SPRING,,10:00,,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 04 дүгээр сарын 03-ны өдрийн ирцийн мэдээ,0,81,32,2,2,0,8,1,126,False,https://att.parliament.mn/sessions/2025-04-03,https://www.parliament.mn/nn/74405/,
s188,35,2025-04-04,2025,SPRING,,10:00,,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 04 дүгээр сарын 04-ний өдрийн ирцийн мэдээ,0,78,31,5,2,1,8,1,126,False,https://att.parliament.mn/sessions/2025-04-04,https://www.parliament.mn/nn/74414/,
s189,36,2025-04-10,2025,SPRING,,10:00,,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 04 дүгээр сарын 10-ны өдрийн ирцийн мэдээ,2,69,30,6,5,7,7,2,126,False,https://att.parliament.mn/sessions/2025-04-10,https://www.parliament.mn/nn/74468/,
s190,37,2025-04-11,2025,SPRING,,10:00,,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 04 дүгээр сарын 11-ний өдрийн ирцийн мэдээ,2,66,23,7,8,6,7,9,126,False,https://att.parliament.mn/sessions/2025-04-11,https://www.parliament.mn/nn/74479/,
s191,38,2025-04-17,2025,SPRING,,10:00,,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 04 дүгээр сарын 17-ны өдрийн ирцийн мэдээ,1,83,26,7,4,3,2,1,126,False,https://att.parliament.mn/sessions/2025-04-17,https://www.parliament.mn/nn/74521/,
s192,39,2025-04-18,2025,SPRING,,10:00,,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 04 дүгээр сарын 18-ны өдрийн ирцийн мэдээ,2,81,25,9,5,3,2,1,126,False,https://att.parliament.mn/sessions/2025-04-18,https://www.parliament.mn/nn/74529/,
s221,40,2025-04-24,2025,SPRING,,10:00,,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 04 дүгээр сарын 24-ний өдрийн ирцийн мэдээ,3,83,24,7,1,0,11,0,126,False,https://att.parliament.mn/sessions/2025-04-24,https://www.parliament.mn/nn/74573/,
s222,41,2025-04-25,2025,SPRING,10:00,10:03,3,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 04 дүгээр сарын 25-ны өдрийн ирцийн мэдээ,2,93,14,6,3,0,7,3,126,False,https://att.parliament.mn/sessions/2025-04-25,https://www.parliament.mn/nn/74606/,
s193,42,2025-05-01,2025,SPRING,,10:00,,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 05 дугаар сарын 01-ний өдрийн ирцийн мэдээ,3,77,23,4,6,2,8,6,126,False,https://att.parliament.mn/sessions/2025-05-01,https://www.parliament.mn/nn/74668/,
s194,43,2025-05-02,2025,SPRING,,10:00,,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 05 дугаар сарын 02-ны өдрийн ирцийн мэдээ,2,77,18,4,6,4,5,12,126,False,https://att.parliament.mn/sessions/2025-05-02,https://www.parliament.mn/nn/74688/,
s195,44,2025-05-08,2025,SPRING,,10:00,,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 05 дугаар сарын 08-ны өдрийн ирцийн мэдээ,2,69,27,2,4,1,18,5,126,False,https://att.parliament.mn/sessions/2025-05-08,https://www.parliament.mn/nn/74750/,
s196,45,2025-05-09,2025,SPRING,10:00,10:01,1,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 05 дугаар сарын 09-ны өдрийн ирцийн мэдээ,2,77,20,1,4,2,18,4,126,False,https://att.parliament.mn/sessions/2025-05-09,https://www.parliament.mn/nn/74754/,
s197,46,2025-05-15,2025,SPRING,10:00,10:05,5,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 05 дугаар сарын 15-ны өдрийн ирцийн мэдээ,2,68,18,1,1,9,26,3,126,False,https://att.parliament.mn/sessions/2025-05-15,https://www.parliament.mn/nn/74797/,
s198,47,2025-05-16,2025,SPRING,,10:00,,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 05 дугаар сарын 16-ны өдрийн ирцийн мэдээ,3,66,26,2,4,4,24,0,126,False,https://att.parliament.mn/sessions/2025-05-16,https://www.parliament.mn/nn/74804/,
s199,48,2025-05-22,2025,SPRING,10:00,10:25,25,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 05 дугаар сарын 22-ны өдрийн ирцийн мэдээ,3,68,24,6,3,2,9,14,126,False,https://att.parliament.mn/sessions/2025-05-22,https://www.parliament.mn/nn/74848/,
s200,49,2025-05-23,2025,SPRING,,14:00,,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 05 дугаар сарын 23-ны өдрийн ирцийн мэдээ,2,65,32,5,3,5,6,10,126,False,https://att.parliament.mn/sessions/2025-05-23,https://www.parliament.mn/nn/74860/,
s201,50,2025-05-26,2025,SPRING,11:00,11:20,20,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 05 дугаар сарын 26-ны өдрийн ирцийн мэдээ,1,100,13,3,2,0,5,3,126,False,https://att.parliament.mn/sessions/2025-05-26,https://www.parliament.mn/nn/74871/,
s202,51,2025-05-29,2025,SPRING,,10:00,,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 05 дугаар сарын 29-ний өдрийн ирцийн мэдээ,2,71,37,5,3,1,3,6,126,False,https://att.parliament.mn/sessions/2025-05-29,https://www.parliament.mn/nn/74921/,
s203,52,2025-05-30,2025,SPRING,10:00,10:01,1,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 05 дугаар сарын 30-ны өдрийн ирцийн мэдээ,1,69,35,3,8,2,3,6,126,False,https://att.parliament.mn/sessions/2025-05-30,https://www.parliament.mn/nn/74936/,
s204,53,2025-06-02,2025,SPRING,14:00,17:44,224,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 06 дугаар сарын 02-ны өдрийн ирцийн мэдээ,1,105,15,0,3,0,2,1,126,False,https://att.parliament.mn/sessions/2025-06-02,https://www.parliament.mn/nn/74954/,
s205,54,2025-06-05,2025,SPRING,,10:00,,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 06 дугаар сарын 05-ны өдрийн ирцийн мэдээ,2,70,25,1,3,1,2,24,126,False,https://att.parliament.mn/sessions/2025-06-05,https://www.parliament.mn/nn/74977/,
s206,55,2025-06-12,2025,SPRING,10:00,10:04,4,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 06 дугаар сарын 12-ны өдрийн ирцийн мэдээ,2,67,52,1,2,2,1,1,126,False,https://att.parliament.mn/sessions/2025-06-12,https://www.parliament.mn/nn/75018/,
s207,56,2025-06-13,2025,SPRING,10:00,10:11,11,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 06 дугаар сарын 13-ны өдрийн ирцийн мэдээ,2,67,41,5,4,2,1,6,126,False,https://att.parliament.mn/sessions/2025-06-13,https://www.parliament.mn/nn/75031/,
s208,57,2025-06-17,2025,SPRING,17:00,17:06,6,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 06 дугаар сарын 17-ны өдрийн ирцийн мэдээ,0,65,36,3,1,1,4,16,126,False,https://att.parliament.mn/sessions/2025-06-17,https://www.parliament.mn/nn/75066/,
s209,58,2025-06-19,2025,SPRING,,10:00,,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 06 дугаар сарын 19-ний өдрийн ирцийн мэдээ,3,70,36,4,4,3,6,3,126,False,https://att.parliament.mn/sessions/2025-06-19,https://www.parliament.mn/nn/75083/,
s210,59,2025-06-20,2025,SPRING,10:00,10:10,10,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 06 дугаар сарын 20-ны өдрийн ирцийн мэдээ,2,65,33,6,6,8,6,2,126,False,https://att.parliament.mn/sessions/2025-06-20,https://www.parliament.mn/nn/75102/,
s211,60,2025-06-23,2025,SPRING,14:00,14:02,2,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 06 дугаар сарын 23-ны өдрийн ирцийн мэдээ,3,51,55,2,4,5,6,3,126,False,https://att.parliament.mn/sessions/2025-06-23,https://www.parliament.mn/nn/75127/,
s212,61,2025-06-24,2025,SPRING,14:00,15:01,61,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 06 дугаар сарын 24-ний өдрийн ирцийн мэдээ,1,81,5,2,9,4,6,19,126,False,https://att.parliament.mn/sessions/2025-06-24,https://www.parliament.mn/nn/75134/,
s213,62,2025-06-25,2025,SPRING,14:00,14:17,17,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 06 дугаар сарын 25-ны өдрийн ирцийн мэдээ,0,84,19,4,6,1,5,7,126,False,https://att.parliament.mn/sessions/2025-06-25,https://www.parliament.mn/nn/75163/,
s214,63,2025-06-26,2025,SPRING,10:00,10:05,5,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 06 дугаар сарын 26-ны өдрийн ирцийн мэдээ,3,73,18,3,4,1,13,14,126,False,https://att.parliament.mn/sessions/2025-06-26,https://www.parliament.mn/nn/75182/,
s215,64,2025-06-27,2025,SPRING,10:00,10:03,3,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 06 дугаар сарын 27-ны өдрийн ирцийн мэдээ,4,65,35,4,4,1,14,3,126,False,https://att.parliament.mn/sessions/2025-06-27,https://www.parliament.mn/nn/75204/,
s216,65,2025-07-02,2025,SPRING,14:00,14:07,7,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 07 дугаар сарын 02-ны өдрийн ирцийн мэдээ,12,73,36,2,8,0,4,3,126,False,https://att.parliament.mn/sessions/2025-07-02,https://www.parliament.mn/nn/75248/,
s217,66,2025-07-03,2025,SPRING,14:00,14:05,5,Монгол Улсын Их Хурлын 2025 оны хаврын ээлжит чуулганы нэгдсэн хуралдааны 07 дугаар сарын 03-ны өдрийн ирцийн мэдээ,12,83,29,3,5,1,4,1,126,False,https://att.parliament.mn/sessions/2025-07-03,https://www.parliament.mn/nn/75255/,
