member_id,ordinal,name_mn,surname_initial_mn,given_name_mn,party_code,party_name_mn,party_name_en,district,district_label_mn,mandate_label_mn,committee_code,committee_name_mn,profile_url,photo_url,is_flagged
m45,45,Л.Соронзонболд,Л,Соронзонболд,MAN,Монгол Ардын Нам,Mongolian People’s Party,6,6-р тойрог,6-р тойрог,hzu,Хууль зүйн байнгын хороо,https://www.parliament.mn/cv/373/,/api/mp-photo/lkhagvasurengiin-soronzonbold.jpg,False
m46,46,Ш.Бямбасүрэн,Ш,Бямбасүрэн,AN,Ардчилсан Нам,Democratic Party,6,6-р тойрог,6-р тойрог,real,"Хүний хөгжил, нийгмийн бодлогын байнгын хороо",https://www.parliament.mn/cv/332/,/api/mp-photo/shinebayaryn-byambasuren.jpg,False
m47,47,М.Ганхүлэг,М,Ганхүлэг,MAN,Монгол Ардын Нам,Mongolian People’s Party,6,6-р тойрог,6-р тойрог,bay,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",https://www.parliament.mn/cv/339/,/api/mp-photo/munguntsogiin-gankhuleg.jpg,False
m48,48,Р.Сэддорж,Р,Сэддорж,AN,Ардчилсан Нам,Democratic Party,7,7-р тойрог,7-р тойрог,bay,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",https://www.parliament.mn/cv/374/,/api/mp-photo/ryenchinbyambyn-seddorj.jpg,False
m49,49,Б.Дэлгэрсайхан,Б,Дэлгэрсайхан,MAN,Монгол Ардын Нам,Mongolian People’s Party,7,7-р тойрог,7-р тойрог,hzu,Хууль зүйн байнгын хороо,https://www.parliament.mn/cv/229/,/api/mp-photo/borkhuugiin-delgersaikhan.jpg,False
m50,50,Н.Наранбаатар,Н,Наранбаатар,MAN,Монгол Ардын Нам,Mongolian People’s Party,7,7-р тойрог,7-р тойрог,bay,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",https://www.parliament.mn/cv/92/,/api/mp-photo/nanzadyn-naranbaatar.jpg,False
m51,51,Л.Мөнхбаясгалан,Л,Мөнхбаясгалан,AN,Ардчилсан Нам,Democratic Party,7,7-р тойрог,7-р тойрог,bay,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",https://www.parliament.mn/cv/352/,/api/mp-photo/luvsanbyambaagiin-munkhbayasgalan.jpg,False
m52,52,Ц.Мөнхбат,Ц,Мөнхбат,AN,Ардчилсан Нам,Democratic Party,7,7-р тойрог,7-р тойрог,real,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",https://www.parliament.mn/cv/351/,/api/mp-photo/tsagaankhuugiin-munkhbat.jpg,False
m53,53,Р.Эрдэнэбүрэн,Р,Эрдэнэбүрэн,AN,Ардчилсан Нам,Democratic Party,7,7-р тойрог,7-р тойрог,real,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",https://www.parliament.mn/cv/394/,/api/mp-photo/ravjikhyn-erdeneburen.jpg,False
m54,54,Г.Ганбаатар,Г,Ганбаатар,AN,Ардчилсан Нам,Democratic Party,7,7-р тойрог,7-р тойрог,bay,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",https://www.parliament.mn/cv/335/,/api/mp-photo/gombyn-ganbaatar.jpg,False
m55,55,Ж.Чинбүрэн,Ж,Чинбүрэн,MAN,Монгол Ардын Нам,Mongolian People’s Party,8,8-р тойрог,8-р тойрог,bay,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",https://www.parliament.mn/cv/133/,/api/mp-photo/jigjidsurengiin-chinburen.jpg,False
m56,56,Б.Энхбаяр,Б,Энхбаяр,MAN,Монгол Ардын Нам,Mongolian People’s Party,8,8-р тойрог,8-р тойрог,tor,Төрийн байгуулалтын байнгын хороо,https://www.parliament.mn/cv/188/,/api/mp-photo/battumuriin-enkhbayar.jpg,False
m57,57,П.Наранбаяр,П,Наранбаяр,HUN,ХҮН Нам,HUN Party,8,8-р тойрог,8-р тойрог,real,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",https://www.parliament.mn/cv/359/,/api/mp-photo/purevsurengiin-naranbayar.jpg,False
m58,58,Э.Бат-Амгалан,Э,Бат-Амгалан,MAN,Монгол Ардын Нам,Mongolian People’s Party,8,8-р тойрог,8-р тойрог,real,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",https://www.parliament.mn/cv/81/,/api/mp-photo/enkhtaivany-bat-amgalan.jpg,False
m59,59,Х.Булгантуяа,Х,Булгантуяа,MAN,Монгол Ардын Нам,Mongolian People’s Party,8,8-р тойрог,8-р тойрог,real,Төсвийн байнгын хороо,https://www.parliament.mn/cv/82/,/api/mp-photo/khurelbaataryn-bulgantuyaa.jpg,False
m60,60,Ж.Золжаргал,Ж,Золжаргал,HUN,ХҮН Нам,HUN Party,9,9-р тойрог,9-р тойрог,real,Өргөдлийн байнгын хороо,https://www.parliament.mn/cv/345/,/api/mp-photo/jargalsaikhany-zoljargal.jpg,False
m61,61,Х.Ганхуяг,Х,Ганхуяг,MAN,Монгол Ардын Нам,Mongolian People’s Party,9,9-р тойрог,9-р тойрог,bay,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",https://www.parliament.mn/cv/87/,/api/mp-photo/khassuuriin-gankhuyag.jpg,False
m62,62,Ж.Ганбаатар,Ж,Ганбаатар,MAN,Монгол Ардын Нам,Mongolian People’s Party,9,9-р тойрог,9-р тойрог,real,Төсвийн байнгын хороо,https://www.parliament.mn/cv/283/,/api/mp-photo/jambalyn-ganbaatar.jpg,False
