Types,Region,Year,value
Special purpose vehicle, Bayankhongor,2024,278.0
Special purpose vehicle, Bayankhongor,2023,251.0
Special purpose vehicle, Bayankhongor,2022,331.0
Special purpose vehicle, Bayankhongor,2021,544.0
Special purpose vehicle, Bayankhongor,2020,535.0
Special purpose vehicle, Bayankhongor,2019,466.0
Special purpose vehicle, Bayankhongor,2018,585.0
Special purpose vehicle, Bayankhongor,2017,594.0
Special purpose vehicle, Bayankhongor,2016,606.0
Special purpose vehicle, Bayankhongor,2015,607.0
Special purpose vehicle, Bayankhongor,2014,601.0
Special purpose vehicle, Bayankhongor,2013,322.0
Special purpose vehicle, Bayankhongor,2012,371.0
Special purpose vehicle, Bayankhongor,1957,
Special purpose vehicle, Bayankhongor,1956,
Special purpose vehicle, Bayankhongor,1955,
Special purpose vehicle, Bayankhongor,1954,
Special purpose vehicle, Bayankhongor,1953,
Special purpose vehicle, Bayankhongor,1952,
Special purpose vehicle, Bayankhongor,1951,
Special purpose vehicle, Bayankhongor,1950,
Special purpose vehicle, Bayankhongor,1949,
Special purpose vehicle, Bayankhongor,1948,
Special purpose vehicle, Bayankhongor,1947,
Special purpose vehicle, Bayankhongor,1946,
Special purpose vehicle, Bayankhongor,1945,
Special purpose vehicle, Bayankhongor,1944,
Special purpose vehicle, Bayankhongor,1943,
Special purpose vehicle, Bayankhongor,1942,
Special purpose vehicle, Bayankhongor,1941,
Special purpose vehicle, Bayankhongor,1940,
Special purpose vehicle, Bulgan,2025,141.0
Special purpose vehicle, Bulgan,2024,126.0
Special purpose vehicle, Bulgan,2023,111.0
Special purpose vehicle, Bulgan,2022,270.0
Special purpose vehicle, Bulgan,2021,341.0
Special purpose vehicle, Bulgan,2020,369.0
Special purpose vehicle, Bulgan,2019,293.0
Special purpose vehicle, Bulgan,2018,347.0
Special purpose vehicle, Bulgan,2017,344.0
Special purpose vehicle, Bulgan,2016,344.0
Special purpose vehicle, Bulgan,2015,337.0
Special purpose vehicle, Bulgan,2014,360.0
Special purpose vehicle, Bulgan,2013,299.0
Special purpose vehicle, Bulgan,2012,314.0
Special purpose vehicle, Bulgan,1957,
Special purpose vehicle, Bulgan,1956,
Special purpose vehicle, Bulgan,1955,
Special purpose vehicle, Bulgan,1954,
Special purpose vehicle, Bulgan,1953,
Special purpose vehicle, Bulgan,1952,
Special purpose vehicle, Bulgan,1951,
Special purpose vehicle, Bulgan,1950,
Special purpose vehicle, Bulgan,1949,
Special purpose vehicle, Bulgan,1948,
Special purpose vehicle, Bulgan,1947,
Special purpose vehicle, Bulgan,1946,
Special purpose vehicle, Bulgan,1945,
Special purpose vehicle, Bulgan,1944,
Special purpose vehicle, Bulgan,1943,
Special purpose vehicle, Bulgan,1942,
Special purpose vehicle, Bulgan,1941,
Special purpose vehicle, Bulgan,1940,
Special purpose vehicle, Orkhon,2025,459.0
Special purpose vehicle, Orkhon,2024,396.0
Special purpose vehicle, Orkhon,2023,339.0
Special purpose vehicle, Orkhon,2022,504.0
Special purpose vehicle, Orkhon,2021,537.0
Special purpose vehicle, Orkhon,2020,598.0
Special purpose vehicle, Orkhon,2019,513.0
Special purpose vehicle, Orkhon,2018,519.0
Special purpose vehicle, Orkhon,2017,534.0
Special purpose vehicle, Orkhon,2016,552.0
Special purpose vehicle, Orkhon,2015,552.0
Special purpose vehicle, Orkhon,2014,558.0
Special purpose vehicle, Orkhon,2013,515.0
Special purpose vehicle, Orkhon,2012,488.0
Special purpose vehicle, Orkhon,1957,
Special purpose vehicle, Orkhon,1956,
Special purpose vehicle, Orkhon,1955,
Special purpose vehicle, Orkhon,1954,
Special purpose vehicle, Orkhon,1953,
Special purpose vehicle, Orkhon,1952,
Special purpose vehicle, Orkhon,1951,
Special purpose vehicle, Orkhon,1950,
Special purpose vehicle, Orkhon,1949,
Special purpose vehicle, Orkhon,1948,
Special purpose vehicle, Orkhon,1947,
Special purpose vehicle, Orkhon,1946,
Special purpose vehicle, Orkhon,1945,
Special purpose vehicle, Orkhon,1944,
Special purpose vehicle, Orkhon,1943,
Special purpose vehicle, Orkhon,1942,
Special purpose vehicle, Orkhon,1941,
Special purpose vehicle, Orkhon,1940,
Special purpose vehicle, Uvurkhangai,2025,246.0
Special purpose vehicle, Uvurkhangai,2024,189.0
Special purpose vehicle, Uvurkhangai,2023,174.0
Special purpose vehicle, Uvurkhangai,2022,531.0
Special purpose vehicle, Uvurkhangai,2021,574.0
Special purpose vehicle, Uvurkhangai,2020,634.0
Special purpose vehicle, Uvurkhangai,2019,539.0
Special purpose vehicle, Uvurkhangai,2018,579.0
Special purpose vehicle, Uvurkhangai,2017,584.0
Special purpose vehicle, Uvurkhangai,2016,571.0
Special purpose vehicle, Uvurkhangai,2015,566.0
Special purpose vehicle, Uvurkhangai,2014,564.0
Special purpose vehicle, Uvurkhangai,2013,437.0
Special purpose vehicle, Uvurkhangai,2012,472.0
Special purpose vehicle, Uvurkhangai,1957,
Special purpose vehicle, Uvurkhangai,1956,
Special purpose vehicle, Uvurkhangai,1955,
Special purpose vehicle, Uvurkhangai,1954,
Special purpose vehicle, Uvurkhangai,1953,
Special purpose vehicle, Uvurkhangai,1952,
Special purpose vehicle, Uvurkhangai,1951,
Special purpose vehicle, Uvurkhangai,1950,
Special purpose vehicle, Uvurkhangai,1949,
Special purpose vehicle, Uvurkhangai,1948,
Special purpose vehicle, Uvurkhangai,1947,
Special purpose vehicle, Uvurkhangai,1946,
Special purpose vehicle, Uvurkhangai,1945,
Special purpose vehicle, Uvurkhangai,1944,
Special purpose vehicle, Uvurkhangai,1943,
Special purpose vehicle, Uvurkhangai,1942,
Special purpose vehicle, Uvurkhangai,1941,
Special purpose vehicle, Uvurkhangai,1940,
Special purpose vehicle, Khuvsgul,2025,396.0
Special purpose vehicle, Khuvsgul,2024,370.0
Special purpose vehicle, Khuvsgul,2023,330.0
Special purpose vehicle, Khuvsgul,2022,606.0
Special purpose vehicle, Khuvsgul,2021,876.0
Special purpose vehicle, Khuvsgul,2020,880.0
Special purpose vehicle, Khuvsgul,2019,777.0
Special purpose vehicle, Khuvsgul,2018,815.0
Special purpose vehicle, Khuvsgul,2017,815.0
Special purpose vehicle, Khuvsgul,2016,801.0
Special purpose vehicle, Khuvsgul,2015,785.0
Special purpose vehicle, Khuvsgul,2014,763.0
Special purpose vehicle, Khuvsgul,2013,386.0
Special purpose vehicle, Khuvsgul,2012,378.0
Special purpose vehicle, Khuvsgul,1957,
Special purpose vehicle, Khuvsgul,1956,
Special purpose vehicle, Khuvsgul,1955,
Special purpose vehicle, Khuvsgul,1954,
Special purpose vehicle, Khuvsgul,1953,
Special purpose vehicle, Khuvsgul,1952,
Special purpose vehicle, Khuvsgul,1951,
Special purpose vehicle, Khuvsgul,1950,
Special purpose vehicle, Khuvsgul,1949,
Special purpose vehicle, Khuvsgul,1948,
Special purpose vehicle, Khuvsgul,1947,
Special purpose vehicle, Khuvsgul,1946,
Special purpose vehicle, Khuvsgul,1945,
Special purpose vehicle, Khuvsgul,1944,
Special purpose vehicle, Khuvsgul,1943,
Special purpose vehicle, Khuvsgul,1942,
Special purpose vehicle, Khuvsgul,1941,
Special purpose vehicle, Khuvsgul,1940,
Special purpose vehicle, Central region,2025,2748.0
Special purpose vehicle, Central region,2024,2386.0
Special purpose vehicle, Central region,2023,2101.0
Special purpose vehicle, Central region,2022,3163.0
Special purpose vehicle, Central region,2021,3686.0
Special purpose vehicle, Central region,2020,3802.0
Special purpose vehicle, Central region,2019,4144.0
Special purpose vehicle, Central region,2018,4342.0
Special purpose vehicle, Central region,2017,4267.0
Special purpose vehicle, Central region,2016,4549.0
Special purpose vehicle, Central region,2015,4572.0
Special purpose vehicle, Central region,2014,4666.0
Special purpose vehicle, Central region,2013,5647.0
Special purpose vehicle, Central region,2012,5885.0
Special purpose vehicle, Central region,1957,
Special purpose vehicle, Central region,1956,
Special purpose vehicle, Central region,1955,
Special purpose vehicle, Central region,1954,
Special purpose vehicle, Central region,1953,
Special purpose vehicle, Central region,1952,
Special purpose vehicle, Central region,1951,
Special purpose vehicle, Central region,1950,
Special purpose vehicle, Central region,1949,
Special purpose vehicle, Central region,1948,
Special purpose vehicle, Central region,1947,
Special purpose vehicle, Central region,1946,
Special purpose vehicle, Central region,1945,
Special purpose vehicle, Central region,1944,
Special purpose vehicle, Central region,1943,
Special purpose vehicle, Central region,1942,
Special purpose vehicle, Central region,1941,
Special purpose vehicle, Central region,1940,
Special purpose vehicle, Govisumber,2025,127.0
Special purpose vehicle, Govisumber,2024,114.0
Special purpose vehicle, Govisumber,2023,102.0
Special purpose vehicle, Govisumber,2022,110.0
Special purpose vehicle, Govisumber,2021,126.0
Special purpose vehicle, Govisumber,2020,113.0
Special purpose vehicle, Govisumber,2019,113.0
Special purpose vehicle, Govisumber,2018,120.0
Special purpose vehicle, Govisumber,2017,131.0
Special purpose vehicle, Govisumber,2016,137.0
Special purpose vehicle, Govisumber,2015,138.0
Special purpose vehicle, Govisumber,2014,137.0
Special purpose vehicle, Govisumber,2013,132.0
Special purpose vehicle, Govisumber,2012,126.0
Special purpose vehicle, Govisumber,1957,
Special purpose vehicle, Govisumber,1956,
Special purpose vehicle, Govisumber,1955,
Special purpose vehicle, Govisumber,1954,
Special purpose vehicle, Govisumber,1953,
Special purpose vehicle, Govisumber,1952,
Special purpose vehicle, Govisumber,1951,
Special purpose vehicle, Govisumber,1950,
Special purpose vehicle, Govisumber,1949,
Special purpose vehicle, Govisumber,1948,
Special purpose vehicle, Govisumber,1947,
Special purpose vehicle, Govisumber,1946,
Special purpose vehicle, Govisumber,1945,
Special purpose vehicle, Govisumber,1944,
Special purpose vehicle, Govisumber,1943,
Special purpose vehicle, Govisumber,1942,
Special purpose vehicle, Govisumber,1941,
Special purpose vehicle, Govisumber,1940,
Special purpose vehicle, Darkhan-Uul,2025,466.0
Special purpose vehicle, Darkhan-Uul,2024,374.0
Special purpose vehicle, Darkhan-Uul,2023,310.0
Special purpose vehicle, Darkhan-Uul,2022,514.0
Special purpose vehicle, Darkhan-Uul,2021,541.0
Special purpose vehicle, Darkhan-Uul,2020,581.0
Special purpose vehicle, Darkhan-Uul,2019,479.0
Special purpose vehicle, Darkhan-Uul,2018,488.0
Special purpose vehicle, Darkhan-Uul,2017,506.0
Special purpose vehicle, Darkhan-Uul,2016,501.0
Special purpose vehicle, Darkhan-Uul,2015,473.0
Special purpose vehicle, Darkhan-Uul,2014,483.0
Special purpose vehicle, Darkhan-Uul,2013,375.0
Special purpose vehicle, Darkhan-Uul,2012,405.0
Special purpose vehicle, Darkhan-Uul,1957,
Special purpose vehicle, Darkhan-Uul,1956,
Special purpose vehicle, Darkhan-Uul,1955,
Special purpose vehicle, Darkhan-Uul,1954,
Special purpose vehicle, Darkhan-Uul,1953,
Special purpose vehicle, Darkhan-Uul,1952,
Special purpose vehicle, Darkhan-Uul,1951,
Special purpose vehicle, Darkhan-Uul,1950,
Special purpose vehicle, Darkhan-Uul,1949,
Special purpose vehicle, Darkhan-Uul,1948,
Special purpose vehicle, Darkhan-Uul,1947,
Special purpose vehicle, Darkhan-Uul,1946,
Special purpose vehicle, Darkhan-Uul,1945,
Special purpose vehicle, Darkhan-Uul,1944,
Special purpose vehicle, Darkhan-Uul,1943,
Special purpose vehicle, Darkhan-Uul,1942,
Special purpose vehicle, Darkhan-Uul,1941,
Special purpose vehicle, Darkhan-Uul,1940,
Special purpose vehicle, Dornogovi,2025,412.0
Special purpose vehicle, Dornogovi,2024,379.0
Special purpose vehicle, Dornogovi,2023,335.0
Special purpose vehicle, Dornogovi,2022,427.0
Special purpose vehicle, Dornogovi,2021,668.0
Special purpose vehicle, Dornogovi,2020,687.0
Special purpose vehicle, Dornogovi,2019,627.0
Special purpose vehicle, Dornogovi,2018,616.0
Special purpose vehicle, Dornogovi,2017,617.0
Special purpose vehicle, Dornogovi,2016,683.0
Special purpose vehicle, Dornogovi,2015,714.0
Special purpose vehicle, Dornogovi,2014,793.0
Special purpose vehicle, Dornogovi,2013,1340.0
Special purpose vehicle, Dornogovi,2012,1444.0
Special purpose vehicle, Dornogovi,1957,
Special purpose vehicle, Dornogovi,1956,
Special purpose vehicle, Dornogovi,1955,
Special purpose vehicle, Dornogovi,1954,
Special purpose vehicle, Dornogovi,1953,
Special purpose vehicle, Dornogovi,1952,
Special purpose vehicle, Dornogovi,1951,
Special purpose vehicle, Dornogovi,1950,
Special purpose vehicle, Dornogovi,1949,
Special purpose vehicle, Dornogovi,1948,
Special purpose vehicle, Dornogovi,1947,
Special purpose vehicle, Dornogovi,1946,
Special purpose vehicle, Dornogovi,1945,
Special purpose vehicle, Dornogovi,1944,
Special purpose vehicle, Dornogovi,1943,
Special purpose vehicle, Dornogovi,1942,
Special purpose vehicle, Dornogovi,1941,
Special purpose vehicle, Dornogovi,1940,
Special purpose vehicle, Dundgovi,2025,172.0
Special purpose vehicle, Dundgovi,2024,173.0
Special purpose vehicle, Dundgovi,2023,151.0
Special purpose vehicle, Dundgovi,2022,207.0
Special purpose vehicle, Dundgovi,2021,388.0
Special purpose vehicle, Dundgovi,2020,395.0
Special purpose vehicle, Dundgovi,2019,361.0
Special purpose vehicle, Dundgovi,2018,382.0
Special purpose vehicle, Dundgovi,2017,381.0
Special purpose vehicle, Dundgovi,2016,384.0
Special purpose vehicle, Dundgovi,2015,372.0
Special purpose vehicle, Dundgovi,2014,374.0
Special purpose vehicle, Dundgovi,2013,207.0
Special purpose vehicle, Dundgovi,2012,209.0
Special purpose vehicle, Dundgovi,1957,
Special purpose vehicle, Dundgovi,1956,
Special purpose vehicle, Dundgovi,1955,
Special purpose vehicle, Dundgovi,1954,
Special purpose vehicle, Dundgovi,1953,
Special purpose vehicle, Dundgovi,1952,
Special purpose vehicle, Dundgovi,1951,
Special purpose vehicle, Dundgovi,1950,
Special purpose vehicle, Dundgovi,1949,
Special purpose vehicle, Dundgovi,1948,
Special purpose vehicle, Dundgovi,1947,
Special purpose vehicle, Dundgovi,1946,
Special purpose vehicle, Dundgovi,1945,
Special purpose vehicle, Dundgovi,1944,
Special purpose vehicle, Dundgovi,1943,
Special purpose vehicle, Dundgovi,1942,
Special purpose vehicle, Dundgovi,1941,
Special purpose vehicle, Dundgovi,1940,
Special purpose vehicle, Umnugovi,2025,1005.0
Special purpose vehicle, Umnugovi,2024,858.0
Special purpose vehicle, Umnugovi,2023,775.0
Special purpose vehicle, Umnugovi,2022,1033.0
Special purpose vehicle, Umnugovi,2021,1015.0
Special purpose vehicle, Umnugovi,2020,993.0
Special purpose vehicle, Umnugovi,2019,1716.0
Special purpose vehicle, Umnugovi,2018,1692.0
Special purpose vehicle, Umnugovi,2017,1572.0
Special purpose vehicle, Umnugovi,2016,1769.0
Special purpose vehicle, Umnugovi,2015,1808.0
Special purpose vehicle, Umnugovi,2014,1789.0
Special purpose vehicle, Umnugovi,2013,2674.0
Special purpose vehicle, Umnugovi,2012,2773.0
Special purpose vehicle, Umnugovi,1957,
Special purpose vehicle, Umnugovi,1956,
Special purpose vehicle, Umnugovi,1955,
Special purpose vehicle, Umnugovi,1954,
Special purpose vehicle, Umnugovi,1953,
Special purpose vehicle, Umnugovi,1952,
Special purpose vehicle, Umnugovi,1951,
Special purpose vehicle, Umnugovi,1950,
Special purpose vehicle, Umnugovi,1949,
Special purpose vehicle, Umnugovi,1948,
Special purpose vehicle, Umnugovi,1947,
Special purpose vehicle, Umnugovi,1946,
Special purpose vehicle, Umnugovi,1945,
Special purpose vehicle, Umnugovi,1944,
Special purpose vehicle, Umnugovi,1943,
Special purpose vehicle, Umnugovi,1942,
Special purpose vehicle, Umnugovi,1941,
Special purpose vehicle, Umnugovi,1940,
Special purpose vehicle, Selenge,2025,304.0
Special purpose vehicle, Selenge,2024,273.0
Special purpose vehicle, Selenge,2023,249.0
Special purpose vehicle, Selenge,2022,504.0
Special purpose vehicle, Selenge,2021,546.0
Special purpose vehicle, Selenge,2020,610.0
Special purpose vehicle, Selenge,2019,494.0
Special purpose vehicle, Selenge,2018,593.0
Special purpose vehicle, Selenge,2017,607.0
Special purpose vehicle, Selenge,2016,613.0
Special purpose vehicle, Selenge,2015,608.0
Special purpose vehicle, Selenge,2014,639.0
Special purpose vehicle, Selenge,2013,621.0
Special purpose vehicle, Selenge,2012,639.0
Special purpose vehicle, Selenge,1957,
Special purpose vehicle, Selenge,1956,
Special purpose vehicle, Selenge,1955,
Special purpose vehicle, Selenge,1954,
Special purpose vehicle, Selenge,1953,
Special purpose vehicle, Selenge,1952,
Special purpose vehicle, Selenge,1951,
Special purpose vehicle, Selenge,1950,
Special purpose vehicle, Selenge,1949,
Special purpose vehicle, Selenge,1948,
Special purpose vehicle, Selenge,1947,
Special purpose vehicle, Selenge,1946,
Special purpose vehicle, Selenge,1945,
Special purpose vehicle, Selenge,1944,
Special purpose vehicle, Selenge,1943,
Special purpose vehicle, Selenge,1942,
Special purpose vehicle, Selenge,1941,
Special purpose vehicle, Selenge,1940,
Special purpose vehicle, Tuv,2025,262.0
Special purpose vehicle, Tuv,2024,215.0
Special purpose vehicle, Tuv,2023,179.0
Special purpose vehicle, Tuv,2022,368.0
Special purpose vehicle, Tuv,2021,402.0
Special purpose vehicle, Tuv,2020,423.0
Special purpose vehicle, Tuv,2019,354.0
Special purpose vehicle, Tuv,2018,451.0
Special purpose vehicle, Tuv,2017,453.0
Special purpose vehicle, Tuv,2016,462.0
Special purpose vehicle, Tuv,2015,459.0
Special purpose vehicle, Tuv,2014,451.0
Special purpose vehicle, Tuv,2013,298.0
Special purpose vehicle, Tuv,2012,289.0
Special purpose vehicle, Tuv,1957,
Special purpose vehicle, Tuv,1956,
Special purpose vehicle, Tuv,1955,
Special purpose vehicle, Tuv,1954,
Special purpose vehicle, Tuv,1953,
Special purpose vehicle, Tuv,1952,
Special purpose vehicle, Tuv,1951,
Special purpose vehicle, Tuv,1950,
Special purpose vehicle, Tuv,1949,
Special purpose vehicle, Tuv,1948,
Special purpose vehicle, Tuv,1947,
Special purpose vehicle, Tuv,1946,
Special purpose vehicle, Tuv,1945,
Special purpose vehicle, Tuv,1944,
Special purpose vehicle, Tuv,1943,
Special purpose vehicle, Tuv,1942,
Special purpose vehicle, Tuv,1941,
Special purpose vehicle, Tuv,1940,
Special purpose vehicle, Eastern region,2025,604.0
Special purpose vehicle, Eastern region,2024,554.0
Special purpose vehicle, Eastern region,2023,491.0
Special purpose vehicle, Eastern region,2022,711.0
Special purpose vehicle, Eastern region,2021,933.0
Special purpose vehicle, Eastern region,2020,1013.0
Special purpose vehicle, Eastern region,2019,853.0
Special purpose vehicle, Eastern region,2018,956.0
Special purpose vehicle, Eastern region,2017,962.0
Special purpose vehicle, Eastern region,2016,994.0
Special purpose vehicle, Eastern region,2015,1000.0
Special purpose vehicle, Eastern region,2014,1025.0
Special purpose vehicle, Eastern region,2013,810.0
Special purpose vehicle, Eastern region,2012,826.0
Special purpose vehicle, Eastern region,1957,
Special purpose vehicle, Eastern region,1956,
Special purpose vehicle, Eastern region,1955,
Special purpose vehicle, Eastern region,1954,
Special purpose vehicle, Eastern region,1953,
Special purpose vehicle, Eastern region,1952,
Special purpose vehicle, Eastern region,1951,
Special purpose vehicle, Eastern region,1950,
Special purpose vehicle, Eastern region,1949,
Special purpose vehicle, Eastern region,1948,
Special purpose vehicle, Eastern region,1947,
Special purpose vehicle, Eastern region,1946,
Special purpose vehicle, Eastern region,1945,
Special purpose vehicle, Eastern region,1944,
Special purpose vehicle, Eastern region,1943,
Special purpose vehicle, Eastern region,1942,
Special purpose vehicle, Eastern region,1941,
Special purpose vehicle, Eastern region,1940,
Special purpose vehicle, Dornod,2025,277.0
Special purpose vehicle, Dornod,2024,270.0
Special purpose vehicle, Dornod,2023,243.0
Special purpose vehicle, Dornod,2022,279.0
Special purpose vehicle, Dornod,2021,456.0
Special purpose vehicle, Dornod,2020,498.0
Special purpose vehicle, Dornod,2019,411.0
Special purpose vehicle, Dornod,2018,428.0
Special purpose vehicle, Dornod,2017,426.0
Special purpose vehicle, Dornod,2016,418.0
Special purpose vehicle, Dornod,2015,427.0
Special purpose vehicle, Dornod,2014,453.0
Special purpose vehicle, Dornod,2013,372.0
Special purpose vehicle, Dornod,2012,366.0
Special purpose vehicle, Dornod,1957,
Special purpose vehicle, Dornod,1956,
Special purpose vehicle, Dornod,1955,
Special purpose vehicle, Dornod,1954,
Special purpose vehicle, Dornod,1953,
Special purpose vehicle, Dornod,1952,
Special purpose vehicle, Dornod,1951,
Special purpose vehicle, Dornod,1950,
Special purpose vehicle, Dornod,1949,
Special purpose vehicle, Dornod,1948,
Special purpose vehicle, Dornod,1947,
Special purpose vehicle, Dornod,1946,
Special purpose vehicle, Dornod,1945,
Special purpose vehicle, Dornod,1944,
Special purpose vehicle, Dornod,1943,
Special purpose vehicle, Dornod,1942,
Special purpose vehicle, Dornod,1941,
Special purpose vehicle, Dornod,1940,
Special purpose vehicle, Sukhbaatar,2025,124.0
Special purpose vehicle, Sukhbaatar,2024,107.0
Special purpose vehicle, Sukhbaatar,2023,93.0
Special purpose vehicle, Sukhbaatar,2022,183.0
Special purpose vehicle, Sukhbaatar,2021,200.0
Special purpose vehicle, Sukhbaatar,2020,225.0
Special purpose vehicle, Sukhbaatar,2019,192.0
Special purpose vehicle, Sukhbaatar,2018,248.0
Special purpose vehicle, Sukhbaatar,2017,254.0
Special purpose vehicle, Sukhbaatar,2016,271.0
Special purpose vehicle, Sukhbaatar,2015,269.0
Special purpose vehicle, Sukhbaatar,2014,272.0
Special purpose vehicle, Sukhbaatar,2013,205.0
Special purpose vehicle, Sukhbaatar,2012,211.0
Special purpose vehicle, Sukhbaatar,1957,
Special purpose vehicle, Sukhbaatar,1956,
Special purpose vehicle, Sukhbaatar,1955,
Special purpose vehicle, Sukhbaatar,1954,
Special purpose vehicle, Sukhbaatar,1953,
Special purpose vehicle, Sukhbaatar,1952,
Special purpose vehicle, Sukhbaatar,1951,
Special purpose vehicle, Sukhbaatar,1950,
Special purpose vehicle, Sukhbaatar,1949,
Special purpose vehicle, Sukhbaatar,1948,
Special purpose vehicle, Sukhbaatar,1947,
Special purpose vehicle, Sukhbaatar,1946,
Special purpose vehicle, Sukhbaatar,1945,
Special purpose vehicle, Sukhbaatar,1944,
Special purpose vehicle, Sukhbaatar,1943,
Special purpose vehicle, Sukhbaatar,1942,
Special purpose vehicle, Sukhbaatar,1941,
Special purpose vehicle, Sukhbaatar,1940,
Special purpose vehicle, Khentii,2025,203.0
Special purpose vehicle, Khentii,2024,177.0
Special purpose vehicle, Khentii,2023,155.0
Special purpose vehicle, Khentii,2022,249.0
Special purpose vehicle, Khentii,2021,277.0
Special purpose vehicle, Khentii,2020,290.0
Special purpose vehicle, Khentii,2019,250.0
Special purpose vehicle, Khentii,2018,280.0
Special purpose vehicle, Khentii,2017,282.0
Special purpose vehicle, Khentii,2016,305.0
Special purpose vehicle, Khentii,2015,304.0
Special purpose vehicle, Khentii,2014,300.0
Special purpose vehicle, Khentii,2013,233.0
Special purpose vehicle, Khentii,2012,249.0
Special purpose vehicle, Khentii,1957,
Special purpose vehicle, Khentii,1956,
Special purpose vehicle, Khentii,1955,
Special purpose vehicle, Khentii,1954,
Special purpose vehicle, Khentii,1953,
Special purpose vehicle, Khentii,1952,
Special purpose vehicle, Khentii,1951,
Special purpose vehicle, Khentii,1950,
Special purpose vehicle, Khentii,1949,
Special purpose vehicle, Khentii,1948,
Special purpose vehicle, Khentii,1947,
Special purpose vehicle, Khentii,1946,
Special purpose vehicle, Khentii,1945,
Special purpose vehicle, Khentii,1944,
Special purpose vehicle, Khentii,1943,
Special purpose vehicle, Khentii,1942,
Special purpose vehicle, Khentii,1941,
Special purpose vehicle, Khentii,1940,
Special purpose vehicle, Ulaanbaatar,2025,12607.0
Special purpose vehicle, Ulaanbaatar,2024,11528.0
Special purpose vehicle, Ulaanbaatar,2023,9868.0
Special purpose vehicle, Ulaanbaatar,2022,10404.0
Special purpose vehicle, Ulaanbaatar,2021,10084.0
Special purpose vehicle, Ulaanbaatar,2020,9925.0
Special purpose vehicle, Ulaanbaatar,2019,9984.0
Special purpose vehicle, Ulaanbaatar,2018,10752.0
Special purpose vehicle, Ulaanbaatar,2017,11903.0
Special purpose vehicle, Ulaanbaatar,2016,11952.0
Special purpose vehicle, Ulaanbaatar,2015,11812.0
Special purpose vehicle, Ulaanbaatar,2014,12084.0
Special purpose vehicle, Ulaanbaatar,2013,14877.0
Special purpose vehicle, Ulaanbaatar,2012,15295.0
Special purpose vehicle, Ulaanbaatar,1957,
Special purpose vehicle, Ulaanbaatar,1956,
Special purpose vehicle, Ulaanbaatar,1955,
Special purpose vehicle, Ulaanbaatar,1954,
Special purpose vehicle, Ulaanbaatar,1953,
Special purpose vehicle, Ulaanbaatar,1952,
Special purpose vehicle, Ulaanbaatar,1951,
Special purpose vehicle, Ulaanbaatar,1950,
Special purpose vehicle, Ulaanbaatar,1949,
Special purpose vehicle, Ulaanbaatar,1948,
Special purpose vehicle, Ulaanbaatar,1947,
Special purpose vehicle, Ulaanbaatar,1946,
Special purpose vehicle, Ulaanbaatar,1945,
Special purpose vehicle, Ulaanbaatar,1944,
Special purpose vehicle, Ulaanbaatar,1943,
Special purpose vehicle, Ulaanbaatar,1942,
Special purpose vehicle, Ulaanbaatar,1941,
Special purpose vehicle, Ulaanbaatar,1940,
Special purpose vehicle,  Ulaanbaatar,2025,12607.0
Special purpose vehicle,  Ulaanbaatar,2024,11528.0
Special purpose vehicle,  Ulaanbaatar,2023,9868.0
Special purpose vehicle,  Ulaanbaatar,2022,10404.0
Special purpose vehicle,  Ulaanbaatar,2021,29955.0
Special purpose vehicle,  Ulaanbaatar,2020,9925.0
Special purpose vehicle,  Ulaanbaatar,2019,9984.0
Special purpose vehicle,  Ulaanbaatar,2018,10752.0
Special purpose vehicle,  Ulaanbaatar,2017,11903.0
Special purpose vehicle,  Ulaanbaatar,2016,11952.0
Special purpose vehicle,  Ulaanbaatar,2015,11812.0
Special purpose vehicle,  Ulaanbaatar,2014,12084.0
Special purpose vehicle,  Ulaanbaatar,2013,14877.0
Special purpose vehicle,  Ulaanbaatar,2012,15295.0
Special purpose vehicle,  Ulaanbaatar,1957,
Special purpose vehicle,  Ulaanbaatar,1956,
Special purpose vehicle,  Ulaanbaatar,1955,
Special purpose vehicle,  Ulaanbaatar,1954,
Special purpose vehicle,  Ulaanbaatar,1953,
Special purpose vehicle,  Ulaanbaatar,1952,
Special purpose vehicle,  Ulaanbaatar,1951,
Special purpose vehicle,  Ulaanbaatar,1950,
Special purpose vehicle,  Ulaanbaatar,1949,
Special purpose vehicle,  Ulaanbaatar,1948,
Special purpose vehicle,  Ulaanbaatar,1947,
Special purpose vehicle,  Ulaanbaatar,1946,
Special purpose vehicle,  Ulaanbaatar,1945,
Special purpose vehicle,  Ulaanbaatar,1944,
Special purpose vehicle,  Ulaanbaatar,1943,
Special purpose vehicle,  Ulaanbaatar,1942,
Special purpose vehicle,  Ulaanbaatar,1941,
Special purpose vehicle,  Ulaanbaatar,1940,
Mechanisms,Total,2025,23788.0
Mechanisms,Total,2024,21361.0
Mechanisms,Total,2023,16979.0
Mechanisms,Total,2022,17603.0
Mechanisms,Total,2021,16527.0
Mechanisms,Total,2020,15004.0
Mechanisms,Total,2019,13595.0
Mechanisms,Total,2018,12561.0
Mechanisms,Total,2017,11335.0
Mechanisms,Total,2016,10612.0
Mechanisms,Total,2015,9931.0
Mechanisms,Total,2014,9275.0
Mechanisms,Total,2013,8434.0
Mechanisms,Total,2012,7253.0
Mechanisms,Total,1957,
Mechanisms,Total,1956,
Mechanisms,Total,1955,
Mechanisms,Total,1954,
Mechanisms,Total,1953,
Mechanisms,Total,1952,
Mechanisms,Total,1951,
